player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Adrian Del Castillo,680728,NA,2025-09-01,2,0,0,0,0,0,1,0,0,8,146,Unusable
Gio Urshela,570482,NA,2025-05-19,1,0,0,0,1,0,0,1,0,8,167,Unusable
Gio Urshela,570482,NA,2025-07-28,1,0,0,0,1,0,1,0,0,8,157,Unusable
Gio Urshela,570482,NA,2025-08-11,2,0,0,0,0,0,0,1,0,8,148,Unusable
Ronny Mauricio,677595,NA,2025-06-16,2,0,0,0,0,0,0,1,0,8,159,Unusable
Ronny Mauricio,677595,NA,2025-08-04,2,0,0,0,0,0,0,1,0,8,151,Unusable
Jake Bauers,641343,NA,2025-06-16,1,0,0,0,1,0,1,0,0,8,159,Unusable
Jake Bauers,641343,NA,2025-08-18,0,0,0,0,1,1,1,0,0,8,152,Unusable
Jorge Mateo,622761,NA,2025-04-07,0,0,0,0,0,0,0,0,2,8,159,Unusable
Jose Iglesias,578428,NA,2025-05-19,2,0,0,0,0,0,1,0,0,8,167,Unusable
Jose Iglesias,578428,NA,2025-06-30,1,0,0,0,1,0,1,0,0,8,153,Unusable
Jose Trevino,624431,NA,2025-06-23,2,0,0,0,0,0,1,0,0,8,148,Unusable
Jose Trevino,624431,NA,2025-07-28,0,1,0,0,0,0,1,0,0,8,157,Unusable
Richie Palacios,680700,NA,2025-09-01,1,0,0,0,1,0,1,0,0,8,146,Unusable
Corey Seager,608369,43.68,2025-04-21,1,0,0,0,0,0,2,0,0,7,164,Unusable
Zack Gelof,680869,225.25,2025-06-30,0,0,0,0,1,0,1,1,0,7,160,Unusable
Michael Busch,683737,226.9,2025-03-17,0,0,0,0,1,0,0,0,1,7,8,IF1
Austin Wells,669224,234.46,2025-07-14,1,0,0,0,0,0,1,1,0,7,117,Unusable
Hyeseong Kim,808975,238.24,2025-05-19,1,0,0,0,0,0,0,0,1,7,170,Unusable
Hyeseong Kim,808975,238.24,2025-09-08,0,0,0,0,1,0,0,0,1,7,146,Unusable
Christopher Morel,666624,238.29,2025-07-07,0,0,0,0,1,0,0,0,1,7,152,Unusable
Coby Mayo,691723,239.19,2025-05-26,1,0,0,0,0,0,1,1,0,7,153,Unusable
Luisangel Acuna,682668,239.64,2025-03-24,0,0,0,0,1,0,0,0,1,7,137,Unusable
Luisangel Acuna,682668,239.64,2025-06-02,1,0,0,0,0,0,2,0,0,7,162,Unusable
Casey Schmitt,669477,239.77,2025-04-14,1,0,0,0,0,0,0,2,0,7,161,Unusable
Vinny Capra,681962,239.86,2025-05-05,1,0,0,0,0,0,0,0,1,7,164,Unusable
Vinny Capra,681962,239.86,2025-06-02,1,0,0,0,0,0,1,1,0,7,162,Unusable
Kevin Newman,621028,239.88,2025-04-14,1,0,0,0,0,0,2,0,0,7,161,Unusable
Elias Diaz,553869,239.91,2025-07-21,1,0,0,0,0,0,1,1,0,7,149,Unusable
Jace Jung,690291,239.98,2025-05-05,1,0,0,0,0,0,1,1,0,7,164,Unusable
